year,plant_id,plant_name_gen,operator_name_gen,operator_id_gen,net_generation_mwh,plant_name_cap,operator_name_cap,operator_id_cap,state,nameplate_mw,summer_mw,capacity_mwh,capacity_utilization,minimum_year
2011,57310,1420 Coil Av #C,Los Angeles Department of Water & Power,11208,1992,1420 Coil Av #C,Los Angeles Department of Water & Power,11208,CA,1.1,1.2,10512,0.189497717,2011
2012,57310,1420 Coil Av #C,Los Angeles Department of Water & Power,11208,2173,1420 Coil Av #C,Los Angeles Department of Water & Power,11208,CA,1.1,1.2,10512,0.206716134,2011
2013,57310,1420 Coil Av #C,Los Angeles Department of Water & Power,11208,1528,1420 Coil Av #C,Los Angeles Department of Water & Power,11208,CA,1.1,1.2,10512,0.145357686,2011
2014,57310,1420 Coil Av #C,Los Angeles Department of Water & Power,11208,2149,1420 Coil Av #C,Los Angeles Department of Water & Power,11208,CA,1.1,1.3,11388,0.188707411,2011
2015,57310,1420 Coil Av #C,Los Angeles Department of Water & Power,11208,1515,1420 Coil Av #C,Los Angeles Department of Water & Power,11208,CA,1.3,1.3,11388,0.133034773,2011
2014,58918,2081 Terzian Solar Project,Pristine Sun LLC,58791,1918,2081 Terzian Solar Project,Pristine Sun LLC,58791,CA,1.2,1.2,10512,0.182458143,2014
2015,58918,2081 Terzian Solar Project,Pristine Sun LLC,58791,3444,2081 Terzian Solar Project,Pristine Sun LLC,58791,CA,1.2,1.2,10512,0.327625571,2014
2014,58920,2097 Helton Solar Project,Pristine Sun LLC,58791,208,2097 Helton Solar Project,Pristine Sun LLC,58791,CA,1.5,1.5,13140,0.015829528,2014
2015,58920,2097 Helton Solar Project,Pristine Sun LLC,58791,3999,2097 Helton Solar Project,Pristine Sun LLC,58791,CA,1.5,1.5,13140,0.3043379,2014
2014,58919,2127 Harris Solar Project,Pristine Sun LLC,58791,792,2127 Harris Solar Project,Pristine Sun LLC,58791,CA,1.3,1.3,11388,0.069546891,2014
2015,58919,2127 Harris Solar Project,Pristine Sun LLC,58791,2880,2127 Harris Solar Project,Pristine Sun LLC,58791,CA,1.3,1.3,11388,0.252897787,2014
2012,57871,2555 E Olympic Bl,Los Angeles Department of Water & Power,11208,1740,2555 E Olympic Bl,Los Angeles Department of Water & Power,11208,CA,1,1,8760,0.198630137,2012
2013,57871,2555 E Olympic Bl,Los Angeles Department of Water & Power,11208,1894,2555 E Olympic Bl,Los Angeles Department of Water & Power,11208,CA,1,1,8760,0.216210046,2012
2014,57871,2555 E Olympic Bl,Los Angeles Department of Water & Power,11208,1341,2555 E Olympic Bl,Los Angeles Department of Water & Power,11208,CA,1,1,8760,0.153082192,2012
2015,57871,2555 E Olympic Bl,Los Angeles Department of Water & Power,11208,1235,2555 E Olympic Bl,Los Angeles Department of Water & Power,11208,CA,1,1,8760,0.140981735,2012
2001,52162,85 A,AES Wind Generation Inc,19740,19458,33 East 85-A,Zond Systems Inc,27727,CA,14.9,14.9,130524,0.149076032,1985
2002,52162,85 A,AES Wind Generation Inc,19740,22893,33 East 85 A,Zond Systems Inc,27727,CA,14.4,14.4,126144,0.181483067,1985
2003,52162,85 A,AES Wind Generation Inc,19740,19298,33 East 85 A,Zond Systems Inc,27727,CA,14.4,14.4,126144,0.152983891,1985
2004,52162,85 A,AES Wind Generation Inc,19740,18309,85 A,Enron Wind Systems LLC,27727,CA,14.1,14.1,123516,0.148231808,1985
2005,52162,85 A,AES Wind Generation Inc,19740,13725,85 A,Enron Wind Systems LLC,27727,CA,14.1,14.1,123516,0.111119207,1985
2006,52162,85 A,AES Wind Generation Inc,19740,8781,85 A,AES SeaWest Inc,19740,CA,14.1,14.1,123516,0.071092004,1985
2007,52162,85 A,AES Wind Generation Inc,19740,16263.002,85 A,AES Wind Generation Inc,19740,CA,14.1,14.1,123516,0.131667169,1985
2008,52162,85 A,AES Wind Generation Inc,19740,20895,85 A,AES Wind Generation Inc,19740,CA,14.1,14.1,123516,0.169168367,1985
2009,52162,85 A,AES Wind Generation Inc,19740,19576,85 A,AES Wind Generation Inc,19740,CA,14.1,14.1,123516,0.158489588,1985
2010,52162,85 A,AES Wind Generation Inc,19740,20673,85 A,AES Wind Generation Inc,19740,CA,14.1,14.1,123516,0.167371029,1985
2011,52162,85 A,AES Wind Generation Inc,19740,19384,85 A,AES Wind Generation Inc,19740,CA,14.1,14.1,123516,0.156935134,1985
2012,52162,85 A,AES Wind Generation Inc,19740,14816,85 A,AES Wind Generation Inc,19740,CA,14.1,14.1,123516,0.119952071,1985
2013,52162,85 A,AES Wind Generation Inc,19740,18640,85 A,AES Wind Generation Inc,19740,CA,14.1,14.1,123516,0.150911623,1985
2014,52162,85 A,AES Wind Generation Inc,19740,16839,85 A,AES Wind Generation Inc,19740,CA,14.1,14.1,123516,0.136330516,1985
2015,52162,85 A,AES Wind Generation Inc,19740,13347,85 A,AES Wind Generation Inc,19740,CA,14.1,14.1,123516,0.108058875,1985
2001,52163,85 B,AES Wind Generation Inc,19740,27425,33 East 85-B,Zond Systems Inc,27727,CA,21.6,21.6,189216,0.144940174,1985
2002,52163,85 B,AES Wind Generation Inc,19740,32732,33 East 85 B,Zond Systems Inc,27727,CA,21.6,21.6,189216,0.172987485,1985
2003,52163,85 B,AES Wind Generation Inc,19740,29537,33 East 85 B,Zond Systems Inc,27727,CA,21.6,21.6,189216,0.156102021,1985
2004,52163,85 B,AES Wind Generation Inc,19740,28761.001,85 B,Enron Wind Systems LLC,27727,CA,21.2,21.2,185712,0.154868835,1985
2005,52163,85 B,AES Wind Generation Inc,19740,25809,85 B,Enron Wind Systems LLC,27727,CA,21.2,21.2,185712,0.138973249,1985
2006,52163,85 B,AES Wind Generation Inc,19740,16225.999,85 B,AES SeaWest Inc,19740,CA,21.2,21.2,185712,0.087371839,1985
2007,52163,85 B,AES Wind Generation Inc,19740,23344.998,85 B,AES Wind Generation Inc,19740,CA,21.2,21.2,185712,0.125705383,1985
2008,52163,85 B,AES Wind Generation Inc,19740,29626,85 B,AES Wind Generation Inc,19740,CA,21.2,21.2,185712,0.159526579,1985
2009,52163,85 B,AES Wind Generation Inc,19740,27564,85 B,AES Wind Generation Inc,19740,CA,21.2,21.2,185712,0.148423365,1985
2010,52163,85 B,AES Wind Generation Inc,19740,29408,85 B,AES Wind Generation Inc,19740,CA,21.2,21.2,185712,0.158352718,1985
2011,52163,85 B,AES Wind Generation Inc,19740,25984,85 B,AES Wind Generation Inc,19740,CA,21.2,21.2,185712,0.139915568,1985
2012,52163,85 B,AES Wind Generation Inc,19740,19584,85 B,AES Wind Generation Inc,19740,CA,21.2,21.2,185712,0.105453606,1985
2013,52163,85 B,AES Wind Generation Inc,19740,25968,85 B,AES Wind Generation Inc,19740,CA,21.2,21.2,185712,0.139829413,1985
2014,52163,85 B,AES Wind Generation Inc,19740,22336,85 B,AES Wind Generation Inc,19740,CA,21.2,21.2,185712,0.12027225,1985
2015,52163,85 B,AES Wind Generation Inc,19740,17296,85 B,AES Wind Generation Inc,19740,CA,21.2,21.2,185712,0.093133454,1985
2001,293,A G Wishon,Pacific Gas & Electric Co,14328,42942,A G Wishon,Pacific Gas & Electric Co,14328,CA,12.8,20,175200,0.24510274,1910
2002,293,A G Wishon,Pacific Gas & Electric Co,14328,54363,A G Wishon,Pacific Gas & Electric Co,14328,CA,12.8,20,175200,0.310291096,1910
2003,293,A G Wishon,Pacific Gas & Electric Co,14328,54987,A G Wishon,Pacific Gas & Electric Co,14328,CA,12.8,20,175200,0.31385274,1910
2004,293,A G Wishon,Pacific Gas & Electric Co,14328,53325,A G Wishon,Pacific Gas & Electric Co,14328,CA,12.8,20,175200,0.304366438,1910
2005,293,A G Wishon,Pacific Gas & Electric Co,14328,103471,A G Wishon,Pacific Gas & Electric Co,14328,CA,12.8,20,175200,0.5905879,1910
2006,293,A G Wishon,Pacific Gas & Electric Co,14328,98265,A G Wishon,Pacific Gas & Electric Co,14328,CA,12.8,20,175200,0.560873288,1910
2007,293,A G Wishon,Pacific Gas & Electric Co,14328,23153,A G Wishon,Pacific Gas & Electric Co,14328,CA,12.8,20,175200,0.132151826,1910
2008,293,A G Wishon,Pacific Gas & Electric Co,14328,49418,A G Wishon,Pacific Gas & Electric Co,14328,CA,12.8,20,175200,0.28206621,1910
2009,293,A G Wishon,Pacific Gas & Electric Co,14328,41121,A G Wishon,Pacific Gas & Electric Co,14328,CA,12.8,20,175200,0.234708904,1910
2010,293,A G Wishon,Pacific Gas & Electric Co,14328,89863,A G Wishon,Pacific Gas & Electric Co,14328,CA,12.8,20,175200,0.512916667,1910
2011,293,A G Wishon,Pacific Gas & Electric Co,14328,85755,A G Wishon,Pacific Gas & Electric Co,14328,CA,12.8,20,175200,0.489469178,1910
2012,293,A G Wishon,Pacific Gas & Electric Co,14328,35787,A G Wishon,Pacific Gas & Electric Co,14328,CA,12.8,20,175200,0.204263699,1910
2013,293,A G Wishon,Pacific Gas & Electric Co,14328,21245,A G Wishon,Pacific Gas & Electric Co,14328,CA,12.8,20,175200,0.121261416,1910
2014,293,A G Wishon,Pacific Gas & Electric Co,14328,6571,A G Wishon,Pacific Gas & Electric Co,14328,CA,12.8,20,175200,0.037505708,1910
